Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Welsh language skills (6 categories) Code,Welsh language skills (6 categories),Observation
W07000098,Llanelli,3,Other combination of skills in Welsh,2419
W07000098,Llanelli,4,No skills in Welsh,46917
W07000099,Merthyr Tydfil and Aberdare,-8,Does not apply,3174
W07000099,Merthyr Tydfil and Aberdare,0,Can understand spoken Welsh only,3936
W07000099,Merthyr Tydfil and Aberdare,1,"Can speak, read and write Welsh",7508
W07000099,Merthyr Tydfil and Aberdare,2,Can speak and other combinations of skills in Welsh,1936
W07000099,Merthyr Tydfil and Aberdare,3,Other combination of skills in Welsh,2208
W07000099,Merthyr Tydfil and Aberdare,4,No skills in Welsh,80890
W07000100,Mid and South Pembrokeshire,-8,Does not apply,2662
W07000100,Mid and South Pembrokeshire,0,Can understand spoken Welsh only,5348
W07000100,Mid and South Pembrokeshire,1,"Can speak, read and write Welsh",8482
W07000100,Mid and South Pembrokeshire,2,Can speak and other combinations of skills in Welsh,3201
W07000100,Mid and South Pembrokeshire,3,Other combination of skills in Welsh,1772
W07000100,Mid and South Pembrokeshire,4,No skills in Welsh,79549
W07000101,Monmouthshire,-8,Does not apply,2267
W07000101,Monmouthshire,0,Can understand spoken Welsh only,2273
W07000101,Monmouthshire,1,"Can speak, read and write Welsh",6133
W07000101,Monmouthshire,2,Can speak and other combinations of skills in Welsh,1719
W07000101,Monmouthshire,3,Other combination of skills in Welsh,1422
W07000101,Monmouthshire,4,No skills in Welsh,79140
W07000102,Montgomeryshire and Glyndwr,-8,Does not apply,2729
W07000102,Montgomeryshire and Glyndwr,0,Can understand spoken Welsh only,6565
W07000102,Montgomeryshire and Glyndwr,1,"Can speak, read and write Welsh",13182
W07000102,Montgomeryshire and Glyndwr,2,Can speak and other combinations of skills in Welsh,3935
W07000102,Montgomeryshire and Glyndwr,3,Other combination of skills in Welsh,2318
W07000102,Montgomeryshire and Glyndwr,4,No skills in Welsh,69061
W07000103,Neath and Swansea East,-8,Does not apply,2794
W07000103,Neath and Swansea East,0,Can understand spoken Welsh only,5147
W07000103,Neath and Swansea East,1,"Can speak, read and write Welsh",8585
W07000103,Neath and Swansea East,2,Can speak and other combinations of skills in Welsh,2674
W07000103,Neath and Swansea East,3,Other combination of skills in Welsh,2311
W07000103,Neath and Swansea East,4,No skills in Welsh,78017
W07000104,Newport East,-8,Does not apply,4082
W07000104,Newport East,0,Can understand spoken Welsh only,2513
W07000104,Newport East,1,"Can speak, read and write Welsh",5674
W07000104,Newport East,2,Can speak and other combinations of skills in Welsh,1902
W07000104,Newport East,3,Other combination of skills in Welsh,1436
W07000104,Newport East,4,No skills in Welsh,94478
W07000105,Newport West and Islwyn,-8,Does not apply,3097
W07000105,Newport West and Islwyn,0,Can understand spoken Welsh only,2609
W07000105,Newport West and Islwyn,1,"Can speak, read and write Welsh",6474
W07000105,Newport West and Islwyn,2,Can speak and other combinations of skills in Welsh,1839
W07000105,Newport West and Islwyn,3,Other combination of skills in Welsh,1437
W07000105,Newport West and Islwyn,4,No skills in Welsh,86133
W07000106,Pontypridd,-8,Does not apply,3210
W07000106,Pontypridd,0,Can understand spoken Welsh only,3807
W07000106,Pontypridd,1,"Can speak, read and write Welsh",11019
W07000106,Pontypridd,2,Can speak and other combinations of skills in Welsh,2215
W07000106,Pontypridd,3,Other combination of skills in Welsh,2108
W07000106,Pontypridd,4,No skills in Welsh,79078
W07000107,Rhondda and Ogmore,-8,Does not apply,3068
W07000107,Rhondda and Ogmore,0,Can understand spoken Welsh only,3626
W07000107,Rhondda and Ogmore,1,"Can speak, read and write Welsh",8328
W07000107,Rhondda and Ogmore,2,Can speak and other combinations of skills in Welsh,2084
W07000107,Rhondda and Ogmore,3,Other combination of skills in Welsh,2333
W07000107,Rhondda and Ogmore,4,No skills in Welsh,80628
W07000108,Swansea West,-8,Does not apply,3055
W07000108,Swansea West,0,Can understand spoken Welsh only,3944
W07000108,Swansea West,1,"Can speak, read and write Welsh",7109
W07000108,Swansea West,2,Can speak and other combinations of skills in Welsh,2072
W07000108,Swansea West,3,Other combination of skills in Welsh,2171
W07000108,Swansea West,4,No skills in Welsh,86192
W07000109,Torfaen,-8,Does not apply,2896
W07000109,Torfaen,0,Can understand spoken Welsh only,2007
W07000109,Torfaen,1,"Can speak, read and write Welsh",5783
W07000109,Torfaen,2,Can speak and other combinations of skills in Welsh,1583
W07000109,Torfaen,3,Other combination of skills in Welsh,1190
W07000109,Torfaen,4,No skills in Welsh,78817
W07000110,Vale of Glamorgan,-8,Does not apply,2870
W07000110,Vale of Glamorgan,0,Can understand spoken Welsh only,3114
W07000110,Vale of Glamorgan,1,"Can speak, read and write Welsh",8506
W07000110,Vale of Glamorgan,2,Can speak and other combinations of skills in Welsh,1967
W07000110,Vale of Glamorgan,3,Other combination of skills in Welsh,1629
W07000110,Vale of Glamorgan,4,No skills in Welsh,76304
W07000111,Wrexham,-8,Does not apply,2919
W07000111,Wrexham,0,Can understand spoken Welsh only,4648
W07000111,Wrexham,1,"Can speak, read and write Welsh",8026
W07000111,Wrexham,2,Can speak and other combinations of skills in Welsh,2629
W07000111,Wrexham,3,Other combination of skills in Welsh,2118
W07000111,Wrexham,4,No skills in Welsh,78738
W07000112,Ynys Môn,-8,Does not apply,1792
W07000112,Ynys Môn,0,Can understand spoken Welsh only,7468
W07000112,Ynys Môn,1,"Can speak, read and write Welsh",30316
W07000112,Ynys Môn,2,Can speak and other combinations of skills in Welsh,7094
W07000112,Ynys Môn,3,Other combination of skills in Welsh,1584
W07000112,Ynys Môn,4,No skills in Welsh,20621
